G3SG1 | Desert Storm (Minimal Wear)
StatTrak™ P2000 | Fire Elemental (Field-Tested)
Galil AR | Orange DDPAT (Factory New)
P250 | Undertow (Field-Tested)
MAC-10 | Commuter (Well-Worn)
CZ75-Auto | Tigris (Battle-Scarred)
StatTrak™ Nova | Antique (Factory New)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
P2000 | Ivory (Factory New)
MAC-10 | Nuclear Garden (Well-Worn)
SSG 08 | Lichen Dashed (Battle-Scarred)
StatTrak™ MAC-10 | Heat (Field-Tested)
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear)
PP-Bizon | Irradiated Alert (Factory New)
M4A4 | Radiation Hazard (Field-Tested)
P250 | Supernova (Well-Worn)
Negev | Nuclear Waste (Factory New)
StatTrak™ Desert Eagle | Golden Koi (Factory New)
AK-47 | Vulcan (Minimal Wear)
Sawed-Off | Sage Spray (Battle-Scarred)
StatTrak™ Tec-9 | Titanium Bit (Minimal Wear)
G3SG1 | Contractor (Battle-Scarred)
M4A1-S | Bright Water (Minimal Wear)
StatTrak™ Nova | Bloomstick (Battle-Scarred)
StatTrak™ Glock-18 | Grinder (Minimal Wear)
AK-47 | Jaguar (Field-Tested)
StatTrak™ M4A4 | Bullet Rain (Minimal Wear)
XM1014 | Blue Spruce (Minimal Wear)
G3SG1 | Polar Camo (Minimal Wear)
MP9 | Dart (Well-Worn)
AK-47 | Jet Set (Minimal Wear)
Five-SeveN | Forest Night (Well-Worn)
Nova | Polar Mesh (Battle-Scarred)
M4A4 | Tornado (Well-Worn)
StatTrak™ XM1014 | Quicksilver (Factory New)
AK-47 | Safari Mesh (Minimal Wear)
StatTrak™ Desert Eagle | Crimson Web (Well-Worn)
Galil AR | Hunting Blind (Minimal Wear)
MAC-10 | Tatter (Well-Worn)
StatTrak™ FAMAS | Sergeant (Well-Worn)
MAG-7 | Firestarter (Battle-Scarred)
StatTrak™ Dual Berettas | Retribution (Minimal Wear)
Tec-9 | Red Quartz (Minimal Wear)
StatTrak™ CZ75-Auto | Twist (Factory New)
Sawed-Off | Orange DDPAT (Well-Worn)
StatTrak™ P250 | Muertos (Minimal Wear)
MP7 | Orange Peel (Minimal Wear)
SG 553 | Pulse (Battle-Scarred)
MAC-10 | Nuclear Garden (Factory New)
AK-47 | Case Hardened (Factory New)
AUG | Storm (Factory New)
StatTrak™ MP7 | Urban Hazard (Minimal Wear)
M4A1-S | Basilisk (Field-Tested)
MP9 | Storm (Battle-Scarred)
XM1014 | Blaze Orange (Battle-Scarred)
StatTrak™ MAC-10 | Curse (Factory New)
StatTrak™ Galil AR | Shattered (Minimal Wear)
XM1014 | Bone Machine (Field-Tested)
StatTrak™ M4A4 | Faded Zebra (Minimal Wear)
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)
MAG-7 | Storm (Field-Tested)
MAC-10 | Candy Apple (Factory New)
P250 | Steel Disruption (Factory New)
StatTrak™ Sawed-Off | Highwayman (Minimal Wear)
G3SG1 | Polar Camo (Field-Tested)
Dual Berettas | Cobalt Quartz (Field-Tested)
P250 | Bone Mask (Well-Worn)
StatTrak™ Sawed-Off | Orange DDPAT (Battle-Scarred)
StatTrak™ Tec-9 | Titanium Bit (Factory New)
AUG | Chameleon (Well-Worn)
Dual Berettas | Stained (Battle-Scarred)
AK-47 | Jaguar (Minimal Wear)
Desert Eagle | Cobalt Disruption (Factory New)
UMP-45 | Caramel (Field-Tested)
M4A4 | Howl (Field-Tested)
CZ75-Auto | Hexane (Factory New)
MP9 | Green Plaid (Battle-Scarred)
MAG-7 | Hazard (Well-Worn)
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ P250 | Hive (Minimal Wear)
P250 | Franklin (Minimal Wear)
M249 | System Lock (Battle-Scarred)
PP-Bizon | Chemical Green (Well-Worn)
Tec-9 | Tornado (Well-Worn)
AK-47 | Jaguar (Battle-Scarred)
StatTrak™ G3SG1 | Murky (Field-Tested)
MAG-7 | Irradiated Alert (Minimal Wear)
AUG | Storm (Well-Worn)
Sawed-Off | Rust Coat (Battle-Scarred)
MAG-7 | Storm (Factory New)
StatTrak™ P250 | Steel Disruption (Minimal Wear)
G3SG1 | VariCamo (Field-Tested)
P2000 | Grassland (Factory New)
G3SG1 | Murky (Field-Tested)
Dual Berettas | Hemoglobin (Factory New)
FAMAS | Contrast Spray (Battle-Scarred)
Sawed-Off | First Class (Well-Worn)
StatTrak™ FAMAS | Hexane (Minimal Wear)
Sawed-Off | Full Stop (Minimal Wear)
PP-Bizon | Blue Streak (Battle-Scarred)
SCAR-20 | Storm (Minimal Wear)
Nova | Modern Hunter (Minimal Wear)
MAG-7 | Storm (Minimal Wear)
StatTrak™ MP7 | Urban Hazard (Battle-Scarred)
Tec-9 | Isaac (Minimal Wear)
AK-47 | Case Hardened (Minimal Wear)
AUG | Torque (Minimal Wear)
StatTrak™ P90 | Virus (Field-Tested)
SG 553 | Anodized Navy (Minimal Wear)
SSG 08 | Detour (Factory New)
Nova | Koi (Minimal Wear)
StatTrak™ Galil AR | Sandstorm (Minimal Wear)
StatTrak™ MP9 | Deadly Poison (Well-Worn)
Five-SeveN | Fowl Play (Factory New)
M4A4 | Tornado (Factory New)
AUG | Bengal Tiger (Minimal Wear)
M4A4 | X-Ray (Minimal Wear)
StatTrak™ Tec-9 | Isaac (Minimal Wear)
StatTrak™ Desert Eagle | Heirloom (Minimal Wear)
Galil AR | Tuxedo (Battle-Scarred)
StatTrak™ MAC-10 | Ultraviolet (Well-Worn)
Glock-18 | Candy Apple (Minimal Wear)
StatTrak™ USP-S | Overgrowth (Minimal Wear)
Sawed-Off | Irradiated Alert (Minimal Wear)
Desert Eagle | Blaze (Minimal Wear)
P90 | Virus (Battle-Scarred)
StatTrak™ AWP | Electric Hive (Minimal Wear)
Glock-18 | Reactor (Battle-Scarred)
Nova | Bloomstick (Factory New)
StatTrak™ Dual Berettas | Black Limba (Battle-Scarred)
StatTrak™ P250 | Cartel (Battle-Scarred)
StatTrak™ PP-Bizon | Water Sigil (Factory New)
StatTrak™ P250 | Undertow (Field-Tested)
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)
AUG | Bengal Tiger (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
StatTrak™ Dual Berettas | Black Limba (Well-Worn)
M4A4 | Faded Zebra (Well-Worn)
AUG | Radiation Hazard (Minimal Wear)
SSG 08 | Mayan Dreams (Minimal Wear)
M249 | Blizzard Marbleized (Well-Worn)
P250 | Gunsmoke (Battle-Scarred)
M4A4 | Tornado (Field-Tested)
USP-S | Royal Blue (Battle-Scarred)
StatTrak™ SCAR-20 | Cyrex (Factory New)
P250 | Facets (Minimal Wear)
SG 553 | Traveler (Field-Tested)
StatTrak™ PP-Bizon | Antique (Battle-Scarred)
Nova | Antique (Factory New)
USP-S | Forest Leaves (Factory New)
P90 | Fallout Warning (Field-Tested)
StatTrak™ M4A4 | Desert-Strike (Factory New)
StatTrak™ AK-47 | Red Laminate (Minimal Wear)
Nova | Ghost Camo (Field-Tested)
SCAR-20 | Splash Jam (Field-Tested)
Nova | Koi (Field-Tested)
M249 | Magma (Battle-Scarred)
StatTrak™ Glock-18 | Blue Fissure (Well-Worn)
AUG | Torque (Well-Worn)
StatTrak™ P90 | Cold Blooded (Factory New)
MP9 | Sand Dashed (Battle-Scarred)
Galil AR | VariCamo (Field-Tested)
SCAR-20 | Contractor (Field-Tested)
SSG 08 | Abyss (Well-Worn)
StatTrak™ AWP | Redline (Well-Worn)
XM1014 | Blaze Orange (Minimal Wear)
SCAR-20 | Storm (Well-Worn)
StatTrak™ USP-S | Blood Tiger (Factory New)
Sawed-Off | Snake Camo (Factory New)
Sawed-Off | Serenity (Well-Worn)
StatTrak™ MAC-10 | Heat (Factory New)
Sawed-Off | Irradiated Alert (Field-Tested)
MP9 | Setting Sun (Battle-Scarred)
P250 | Muertos (Battle-Scarred)
StatTrak™ Negev | Desert-Strike (Minimal Wear)
MAC-10 | Graven (Field-Tested)
MAC-10 | Candy Apple (Field-Tested)
FAMAS | Spitfire (Factory New)
Sawed-Off | Copper (Well-Worn)
P90 | Ash Wood (Minimal Wear)
StatTrak™ Tec-9 | Sandstorm (Battle-Scarred)
P2000 | Coach Class (Field-Tested)
Sawed-Off | Sage Spray (Factory New)
Galil AR | Sage Spray (Factory New)
StatTrak™ XM1014 | Quicksilver (Well-Worn)
StatTrak™ Nova | Rising Skull (Field-Tested)
FAMAS | Sergeant (Well-Worn)
AWP | Pink DDPAT (Battle-Scarred)
USP-S | Guardian (Factory New)
MP7 | Olive Plaid (Minimal Wear)
Dual Berettas | Urban Shock (Factory New)
StatTrak™ M4A1-S | Basilisk (Factory New)
Nova | Polar Mesh (Factory New)
P90 | Storm (Battle-Scarred)
StatTrak™ XM1014 | Heaven Guard (Factory New)
StatTrak™ Negev | Terrain (Well-Worn)
Tec-9 | Titanium Bit (Factory New)
AK-47 | Wasteland Rebel (Factory New)
StatTrak™ P90 | Module (Minimal Wear)
SG 553 | Tornado (Well-Worn)
SSG 08 | Mayan Dreams (Battle-Scarred)
G3SG1 | Desert Storm (Factory New)
SCAR-20 | Storm (Battle-Scarred)
Tec-9 | Nuclear Threat (Minimal Wear)
P90 | Leather (Battle-Scarred)
AUG | Copperhead (Field-Tested)
Nova | Forest Leaves (Well-Worn)
M4A4 | Radiation Hazard (Battle-Scarred)
StatTrak™ Dual Berettas | Urban Shock (Minimal Wear)
FAMAS | Contrast Spray (Well-Worn)
MP9 | Dry Season (Field-Tested)
USP-S | Royal Blue (Minimal Wear)
USP-S | Caiman (Minimal Wear)
Negev | Bratatat (Field-Tested)
Nova | Bloomstick (Well-Worn)
StatTrak™ Five-SeveN | Fowl Play (Factory New)
StatTrak™ PP-Bizon | Blue Streak (Well-Worn)
XM1014 | Blue Steel (Battle-Scarred)
M4A4 | Zirka (Field-Tested)
M4A1-S | Atomic Alloy (Minimal Wear)
Galil AR | Sandstorm (Well-Worn)
StatTrak™ MAC-10 | Curse (Minimal Wear)
StatTrak™ M4A4 | Bullet Rain (Factory New)
P250 | Cartel (Field-Tested)
P250 | Splash (Factory New)
StatTrak™ P250 | Cartel (Field-Tested)
Glock-18 | Sand Dune (Field-Tested)
StatTrak™ PP-Bizon | Antique (Factory New)
StatTrak™ Sawed-Off | The Kraken (Well-Worn)
XM1014 | Red Python (Well-Worn)
USP-S | Road Rash (Field-Tested)
MAC-10 | Silver (Minimal Wear)
FAMAS | Styx (Battle-Scarred)
P250 | Steel Disruption (Minimal Wear)
StatTrak™ SG 553 | Ultraviolet (Well-Worn)
Sawed-Off | The Kraken (Minimal Wear)
Five-SeveN | Nightshade (Well-Worn)
StatTrak™ Nova | Ghost Camo (Factory New)
M249 | Magma (Field-Tested)
Galil AR | Orange DDPAT (Well-Worn)
P250 | Sand Dune (Factory New)
CZ75-Auto | Tread Plate (Minimal Wear)
MAC-10 | Commuter (Factory New)
AWP | Pink DDPAT (Well-Worn)
MAG-7 | Hazard (Minimal Wear)
UMP-45 | Urban DDPAT (Factory New)
Glock-18 | Night (Minimal Wear)
StatTrak™ Nova | Graphite (Factory New)
XM1014 | CaliCamo (Well-Worn)
M4A4 | Jungle Tiger (Minimal Wear)
MP9 | Dart (Field-Tested)
P90 | Scorched (Well-Worn)
USP-S | Guardian (Field-Tested)
MP9 | Sand Dashed (Well-Worn)
Five-SeveN | Fowl Play (Minimal Wear)
Dual Berettas | Marina (Factory New)
M4A4 | Griffin (Field-Tested)
XM1014 | VariCamo Blue (Minimal Wear)
SG 553 | Ultraviolet (Field-Tested)
AWP | Electric Hive (Field-Tested)
StatTrak™ SCAR-20 | Crimson Web (Minimal Wear)
Dual Berettas | Briar (Factory New)
Nova | Bloomstick (Battle-Scarred)
StatTrak™ Galil AR | Shattered (Well-Worn)
USP-S | Royal Blue (Factory New)
MP7 | Orange Peel (Field-Tested)
P90 | Virus (Field-Tested)
StatTrak™ P250 | Supernova (Field-Tested)
Nova | Polar Mesh (Minimal Wear)
UMP-45 | Corporal (Factory New)
M249 | Gator Mesh (Battle-Scarred)
Negev | Terrain (Field-Tested)
SCAR-20 | Emerald (Minimal Wear)
SCAR-20 | Carbon Fiber (Minimal Wear)
StatTrak™ SCAR-20 | Grotto (Minimal Wear)
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
StatTrak™ UMP-45 | Bone Pile (Minimal Wear)
XM1014 | Quicksilver (Field-Tested)
MP7 | Gunsmoke (Minimal Wear)
Desert Eagle | Naga (Field-Tested)
StatTrak™ Dual Berettas | Marina (Field-Tested)
SCAR-20 | Cyrex (Factory New)
AK-47 | First Class (Well-Worn)
Sawed-Off | Snake Camo (Well-Worn)
PP-Bizon | Antique (Factory New)
XM1014 | Bone Machine (Well-Worn)
StatTrak™ Desert Eagle | Naga (Minimal Wear)
Negev | Army Sheen (Minimal Wear)
MP7 | Forest DDPAT (Field-Tested)
SG 553 | Fallout Warning (Field-Tested)
CZ75-Auto | Hexane (Well-Worn)
Desert Eagle | Heirloom (Minimal Wear)
StatTrak™ P2000 | Pulse (Battle-Scarred)
Five-SeveN | Copper Galaxy (Factory New)
Dual Berettas | Hemoglobin (Field-Tested)
M4A4 | Desert Storm (Factory New)
PP-Bizon | Night Ops (Battle-Scarred)
SCAR-20 | Contractor (Battle-Scarred)
Negev | CaliCamo (Factory New)
P90 | Glacier Mesh (Factory New)
PP-Bizon | Cobalt Halftone (Field-Tested)
StatTrak™ MAC-10 | Malachite (Well-Worn)
Desert Eagle | Urban DDPAT (Battle-Scarred)
AK-47 | Jungle Spray (Battle-Scarred)
Desert Eagle | Cobalt Disruption (Minimal Wear)
StatTrak™ XM1014 | Red Python (Field-Tested)
Nova | Antique (Minimal Wear)
StatTrak™ CZ75-Auto | Tread Plate (Minimal Wear)
Tec-9 | Toxic (Minimal Wear)
StatTrak™ MAC-10 | Heat (Well-Worn)
Glock-18 | Death Rattle (Minimal Wear)
AWP | Pit Viper (Field-Tested)
StatTrak™ M4A4 | Faded Zebra (Factory New)
UMP-45 | Delusion (Field-Tested)
Glock-18 | Catacombs (Battle-Scarred)
Five-SeveN | Hot Shot (Factory New)
Tec-9 | Isaac (Well-Worn)
Sawed-Off | Amber Fade (Factory New)
Sawed-Off | Serenity (Minimal Wear)
SSG 08 | Blue Spruce (Field-Tested)
Dual Berettas | Demolition (Field-Tested)
StatTrak™ PP-Bizon | Osiris (Minimal Wear)
Nova | Predator (Battle-Scarred)
SCAR-20 | Grotto (Field-Tested)
StatTrak™ Dual Berettas | Panther (Well-Worn)
AK-47 | Emerald Pinstripe (Factory New)
P2000 | Ocean Foam (Minimal Wear)
Nova | Candy Apple (Field-Tested)
Desert Eagle | Meteorite (Minimal Wear)
StatTrak™ Five-SeveN | Copper Galaxy (Field-Tested)
Tec-9 | VariCamo (Factory New)
M4A4 | Bullet Rain (Factory New)
Desert Eagle | Pilot (Field-Tested)
P90 | Death by Kitty (Field-Tested)
StatTrak™ P250 | Hive (Factory New)
StatTrak™ Sawed-Off | Orange DDPAT (Field-Tested)
P90 | Asiimov (Field-Tested)
AUG | Colony (Factory New)
StatTrak™ SCAR-20 | Cardiac (Well-Worn)
MAC-10 | Ultraviolet (Well-Worn)
StatTrak™ M4A4 | Zirka (Field-Tested)
AK-47 | Black Laminate (Field-Tested)
StatTrak™ USP-S | Caiman (Well-Worn)
Five-SeveN | Fowl Play (Battle-Scarred)
M4A1-S | Boreal Forest (Battle-Scarred)
MAC-10 | Graven (Battle-Scarred)
StatTrak™ MAC-10 | Malachite (Factory New)
MP9 | Setting Sun (Minimal Wear)
AK-47 | First Class (Factory New)
FAMAS | Colony (Field-Tested)
G3SG1 | Jungle Dashed (Field-Tested)
AWP | Pink DDPAT (Minimal Wear)
StatTrak™ G3SG1 | Demeter (Minimal Wear)
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear)
StatTrak™ Glock-18 | Water Elemental (Field-Tested)
P2000 | Silver (Factory New)
USP-S | Business Class (Field-Tested)
AK-47 | First Class (Field-Tested)
Dual Berettas | Colony (Minimal Wear)
AK-47 | Black Laminate (Well-Worn)
StatTrak™ Dual Berettas | Panther (Battle-Scarred)
MAC-10 | Tatter (Battle-Scarred)
Tec-9 | Tornado (Factory New)
Five-SeveN | Nightshade (Field-Tested)
StatTrak™ M4A1-S | Bright Water (Minimal Wear)
Nova | Candy Apple (Factory New)
G3SG1 | Contractor (Minimal Wear)
StatTrak™ FAMAS | Hexane (Factory New)
PP-Bizon | Irradiated Alert (Well-Worn)
StatTrak™ M249 | Magma (Field-Tested)
StatTrak™ CZ75-Auto | Victoria (Minimal Wear)
PP-Bizon | Night Ops (Field-Tested)
StatTrak™ SCAR-20 | Cyrex (Field-Tested)
StatTrak™ P90 | Desert Warfare (Factory New)
StatTrak™ PP-Bizon | Blue Streak (Battle-Scarred)
Galil AR | Kami (Well-Worn)
MP7 | Army Recon (Well-Worn)
SG 553 | Ultraviolet (Battle-Scarred)
Glock-18 | Reactor (Factory New)
G3SG1 | Jungle Dashed (Well-Worn)
P2000 | Chainmail (Factory New)
SSG 08 | Sand Dune (Factory New)
StatTrak™ SSG 08 | Slashed (Field-Tested)
Desert Eagle | Naga (Factory New)
MP7 | Urban Hazard (Factory New)
StatTrak™ Dual Berettas | Marina (Well-Worn)
Desert Eagle | Meteorite (Factory New)
M4A1-S | Atomic Alloy (Well-Worn)
StatTrak™ M4A1-S | Dark Water (Field-Tested)
StatTrak™ Sawed-Off | Orange DDPAT (Well-Worn)
StatTrak™ XM1014 | Quicksilver (Field-Tested)
FAMAS | Hexane (Factory New)
P250 | Muertos (Minimal Wear)
UMP-45 | Carbon Fiber (Factory New)
StatTrak™ SG 553 | Wave Spray (Well-Worn)
FAMAS | Doomkitty (Field-Tested)
StatTrak™ AUG | Bengal Tiger (Field-Tested)
CZ75-Auto | Nitro (Factory New)
FAMAS | Sergeant (Battle-Scarred)
Desert Eagle | Urban Rubble (Well-Worn)
StatTrak™ Sawed-Off | Highwayman (Battle-Scarred)
UMP-45 | Gunsmoke (Field-Tested)
StatTrak™ Glock-18 | Steel Disruption (Field-Tested)
SCAR-20 | Splash Jam (Battle-Scarred)
StatTrak™ SG 553 | Pulse (Field-Tested)
StatTrak™ Negev | Bratatat (Minimal Wear)
Glock-18 | Reactor (Field-Tested)
FAMAS | Spitfire (Well-Worn)
Dual Berettas | Retribution (Minimal Wear)
StatTrak™ USP-S | Caiman (Minimal Wear)
XM1014 | CaliCamo (Minimal Wear)
StatTrak™ P90 | Virus (Battle-Scarred)
Desert Eagle | Golden Koi (Minimal Wear)
StatTrak™ USP-S | Serum (Field-Tested)
Negev | Desert-Strike (Minimal Wear)
MAG-7 | Firestarter (Field-Tested)
SCAR-20 | Cardiac (Well-Worn)
SCAR-20 | Cyrex (Minimal Wear)
Desert Eagle | Hand Cannon (Minimal Wear)
P2000 | Chainmail (Field-Tested)
StatTrak™ AWP | Corticera (Minimal Wear)
StatTrak™ MP9 | Dart (Well-Worn)
Galil AR | Hunting Blind (Factory New)
USP-S | Serum (Field-Tested)
PP-Bizon | Chemical Green (Factory New)
StatTrak™ P90 | Desert Warfare (Field-Tested)
MAC-10 | Urban DDPAT (Battle-Scarred)
StatTrak™ CZ75-Auto | Tigris (Well-Worn)
Dual Berettas | Urban Shock (Minimal Wear)
StatTrak™ SCAR-20 | Crimson Web (Factory New)
StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested)
P90 | Teardown (Field-Tested)
MAC-10 | Malachite (Factory New)
Sawed-Off | First Class (Minimal Wear)
P250 | Gunsmoke (Factory New)
SG 553 | Ultraviolet (Well-Worn)
Five-SeveN | Orange Peel (Battle-Scarred)
P2000 | Granite Marbleized (Field-Tested)
Negev | CaliCamo (Field-Tested)
P90 | Cold Blooded (Minimal Wear)
StatTrak™ FAMAS | Sergeant (Field-Tested)
Five-SeveN | Kami (Minimal Wear)
P90 | Glacier Mesh (Well-Worn)
StatTrak™ M4A4 | Griffin (Field-Tested)
G3SG1 | Arctic Camo (Battle-Scarred)
StatTrak™ MP7 | Ocean Foam (Minimal Wear)
StatTrak™ MAC-10 | Graven (Battle-Scarred)
StatTrak™ AK-47 | Redline (Well-Worn)
M4A4 | Modern Hunter (Well-Worn)
P90 | Trigon (Field-Tested)
StatTrak™ MAC-10 | Tatter (Battle-Scarred)
StatTrak™ MAC-10 | Heat (Battle-Scarred)
StatTrak™ Negev | Desert-Strike (Well-Worn)
AK-47 | Red Laminate (Battle-Scarred)
M4A1-S | Blood Tiger (Field-Tested)
Dual Berettas | Stained (Field-Tested)
StatTrak™ USP-S | Blood Tiger (Field-Tested)
Sawed-Off | Irradiated Alert (Factory New)
Sawed-Off | Amber Fade (Minimal Wear)
StatTrak™ MAG-7 | Memento (Minimal Wear)
Dual Berettas | Contractor (Battle-Scarred)
Glock-18 | Grinder (Minimal Wear)
USP-S | Stainless (Minimal Wear)
Sawed-Off | Orange DDPAT (Field-Tested)
StatTrak™ G3SG1 | Murky (Factory New)
StatTrak™ Nova | Antique (Minimal Wear)
StatTrak™ Five-SeveN | Nightshade (Well-Worn)
Five-SeveN | Hot Shot (Minimal Wear)
MAC-10 | Heat (Field-Tested)
Dual Berettas | Stained (Factory New)
Glock-18 | Blue Fissure (Well-Worn)
Five-SeveN | Orange Peel (Well-Worn)
Desert Eagle | Pilot (Factory New)
UMP-45 | Urban DDPAT (Field-Tested)
StatTrak™ MP9 | Deadly Poison (Field-Tested)
USP-S | Caiman (Well-Worn)
XM1014 | Jungle (Minimal Wear)
M249 | Blizzard Marbleized (Field-Tested)
MP7 | Gunsmoke (Factory New)
SCAR-20 | Sand Mesh (Well-Worn)
USP-S | Orion (Well-Worn)
AK-47 | Red Laminate (Minimal Wear)
MP9 | Setting Sun (Factory New)
Sawed-Off | Forest DDPAT (Well-Worn)
Nova | Green Apple (Minimal Wear)
MAC-10 | Curse (Factory New)
AUG | Colony (Well-Worn)
AK-47 | Redline (Minimal Wear)
MAC-10 | Tornado (Field-Tested)
P90 | Sand Spray (Factory New)
Glock-18 | Blue Fissure (Minimal Wear)
AK-47 | Wasteland Rebel (Well-Worn)
AK-47 | Predator (Minimal Wear)
PP-Bizon | Antique (Well-Worn)
StatTrak™ SSG 08 | Blood in the Water (Field-Tested)
StatTrak™ P90 | Asiimov (Field-Tested)
Nova | Graphite (Factory New)
MP7 | Olive Plaid (Factory New)
AUG | Radiation Hazard (Factory New)
Sawed-Off | Sage Spray (Field-Tested)
Dual Berettas | Black Limba (Factory New)
MAC-10 | Graven (Factory New)
Dual Berettas | Briar (Minimal Wear)
PP-Bizon | Irradiated Alert (Field-Tested)
Tec-9 | Brass (Minimal Wear)
StatTrak™ Galil AR | Orange DDPAT (Well-Worn)
PP-Bizon | Urban Dashed (Field-Tested)
Sawed-Off | Orange DDPAT (Battle-Scarred)
StatTrak™ P90 | Blind Spot (Minimal Wear)
Desert Eagle | Hand Cannon (Factory New)
StatTrak™ MAC-10 | Ultraviolet (Factory New)
StatTrak™ CZ75-Auto | Victoria (Battle-Scarred)
AWP | Lightning Strike (Minimal Wear)
M4A4 | Desert-Strike (Field-Tested)
StatTrak™ SSG 08 | Abyss (Well-Worn)
Desert Eagle | Mudder (Minimal Wear)
XM1014 | Urban Perforated (Field-Tested)
SSG 08 | Blood in the Water (Factory New)
UMP-45 | Bone Pile (Minimal Wear)
M4A1-S | Guardian (Well-Worn)
AK-47 | Emerald Pinstripe (Minimal Wear)
USP-S | Road Rash (Factory New)
MAG-7 | Sand Dune (Minimal Wear)
P90 | Teardown (Well-Worn)
MAG-7 | Bulldozer (Minimal Wear)
Negev | Palm (Well-Worn)
P250 | Sand Dune (Well-Worn)
M4A4 | Faded Zebra (Factory New)
Five-SeveN | Candy Apple (Field-Tested)
StatTrak™ P90 | Virus (Factory New)
Desert Eagle | Crimson Web (Well-Worn)
AUG | Radiation Hazard (Battle-Scarred)
CZ75-Auto | Tuxedo (Battle-Scarred)
StatTrak™ MAG-7 | Firestarter (Well-Worn)
Nova | Walnut (Factory New)
Glock-18 | Sand Dune (Battle-Scarred)
P250 | Cartel (Well-Worn)
P250 | Mehndi (Well-Worn)
Tec-9 | VariCamo (Battle-Scarred)
StatTrak™ M4A1-S | Blood Tiger (Factory New)
FAMAS | Pulse (Factory New)
XM1014 | Urban Perforated (Well-Worn)
XM1014 | Tranquility (Battle-Scarred)
Nova | Sand Dune (Factory New)
Galil AR | Hunting Blind (Well-Worn)
StatTrak™ M4A4 | Griffin (Well-Worn)
M4A4 | Desert-Strike (Battle-Scarred)
UMP-45 | Carbon Fiber (Minimal Wear)
Sawed-Off | Irradiated Alert (Well-Worn)
CZ75-Auto | Nitro (Battle-Scarred)
Dual Berettas | Black Limba (Well-Worn)
Five-SeveN | Copper Galaxy (Field-Tested)
SG 553 | Wave Spray (Factory New)
MP7 | Orange Peel (Well-Worn)
P90 | Glacier Mesh (Field-Tested)
StatTrak™ CZ75-Auto | Tigris (Field-Tested)
XM1014 | Jungle (Battle-Scarred)
StatTrak™ MAG-7 | Firestarter (Minimal Wear)
MAC-10 | Amber Fade (Well-Worn)
StatTrak™ M4A1-S | Atomic Alloy (Factory New)
P90 | Blind Spot (Minimal Wear)
StatTrak™ Nova | Ghost Camo (Well-Worn)
M4A4 | Faded Zebra (Battle-Scarred)
StatTrak™ Galil AR | Sandstorm (Well-Worn)
G3SG1 | Demeter (Battle-Scarred)
StatTrak™ USP-S | Blood Tiger (Minimal Wear)
Sawed-Off | Amber Fade (Field-Tested)
MAG-7 | Sand Dune (Well-Worn)
Sawed-Off | The Kraken (Factory New)
SSG 08 | Blood in the Water (Minimal Wear)
SSG 08 | Dark Water (Minimal Wear)
Desert Eagle | Urban DDPAT (Factory New)
StatTrak™ XM1014 | Tranquility (Well-Worn)
SG 553 | Damascus Steel (Minimal Wear)
Nova | Bloomstick (Field-Tested)
AWP | BOOM (Minimal Wear)
Galil AR | Kami (Factory New)
Galil AR | Hunting Blind (Battle-Scarred)
StatTrak™ CZ75-Auto | Tigris (Battle-Scarred)
USP-S | Blood Tiger (Field-Tested)
M249 | Contrast Spray (Minimal Wear)
StatTrak™ PP-Bizon | Cobalt Halftone (Factory New)
G3SG1 | Murky (Factory New)
XM1014 | Red Leather (Well-Worn)
MAG-7 | Heaven Guard (Well-Worn)
StatTrak™ SG 553 | Pulse (Battle-Scarred)
AK-47 | Predator (Battle-Scarred)
FAMAS | Colony (Battle-Scarred)
Glock-18 | Groundwater (Battle-Scarred)
M4A1-S | Basilisk (Well-Worn)
StatTrak™ Galil AR | Kami (Field-Tested)
Negev | Nuclear Waste (Field-Tested)
G3SG1 | Azure Zebra (Field-Tested)
AUG | Torque (Factory New)
PP-Bizon | Carbon Fiber (Factory New)
SCAR-20 | Cardiac (Battle-Scarred)
StatTrak™ M4A1-S | Cyrex (Battle-Scarred)
Tec-9 | Titanium Bit (Minimal Wear)
Galil AR | Kami (Field-Tested)
PP-Bizon | Urban Dashed (Well-Worn)
StatTrak™ Dual Berettas | Panther (Minimal Wear)
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)
P90 | Emerald Dragon (Battle-Scarred)
Dual Berettas | Contractor (Factory New)
MAC-10 | Nuclear Garden (Minimal Wear)
FAMAS | Teardown (Factory New)
Dual Berettas | Black Limba (Battle-Scarred)
M4A1-S | Boreal Forest (Well-Worn)
StatTrak™ P90 | Asiimov (Factory New)
XM1014 | Blaze Orange (Well-Worn)
AUG | Storm (Battle-Scarred)
Galil AR | Tuxedo (Minimal Wear)
MAC-10 | Malachite (Minimal Wear)
StatTrak™ CZ75-Auto | Twist (Minimal Wear)
StatTrak™ PP-Bizon | Water Sigil (Battle-Scarred)
